date,state,lat_1,u_1,lat_2,u_2,interjet_min
2019-05-13,single,40.0,19.663552370938387,,,
2019-05-14,double,43.5,24.503510908647016,72.5,15.001492153514516,2.3757027062502774
2019-05-15,single,45.75,23.876048868352715,,,
2019-05-16,double,21.75,24.284861304543234,46.75,20.45237125049938,9.200980013067072
2019-05-17,double,20.5,24.67984127998352,46.75,23.525401375510476,10.064267852089621
2019-05-18,single,39.5,24.682492169466887,,,
2019-05-19,single,40.25,27.03167100386186,,,
2019-05-20,single,39.0,30.258961937644266,,,
2019-05-21,single,39.0,30.41002655029297,,,
2019-05-22,double,41.25,29.815569964322176,66.25,15.494023236361416,-8.208928845145486
2019-05-23,double,36.0,18.92784274708141,67.75,16.93800215287642,-6.433101567355069
2019-05-24,double,36.5,19.753841226751153,55.75,15.063020099293102,9.452957326715643
2019-05-25,single,46.0,17.544298345392402,,,
2019-05-26,single,52.5,26.469599290327594,,,
2019-05-27,single,53.25,34.57056322964755,,,
2019-05-28,double,41.0,19.06309769370339,56.0,21.276493419300426,13.653104955499822
2019-05-29,double,41.5,25.450958945534445,58.75,20.967588771473277,12.41860224983909
2019-05-30,double,42.5,21.782488736239348,58.0,19.65353913740678,13.840587529269131
2019-05-31,single,46.5,19.773045106367633,,,
2019-06-01,double,21.5,24.61806869506836,48.25,21.682932246815074,4.313155781139027
2019-06-02,double,23.75,21.18880237232555,49.5,27.3726073178378,6.225522821599787
2019-06-03,double,26.0,19.0750956101851,48.5,23.362831115722656,6.9700284437699755
2019-06-04,double,26.0,20.364559173583984,58.5,19.248780163851652,9.492825854908336
2019-06-05,double,22.25,21.817691976373847,64.25,19.776246330954812,6.9334308017383925
2019-06-06,double,44.5,23.382950175892223,70.25,23.414010134610262,-5.7735067714344375
2019-06-07,double,25.0,20.04653549194336,43.25,21.5799033425071,8.269785274158824
2019-06-08,double,25.0,20.713659459894355,47.0,23.622860128229316,6.357368165796453
2019-06-09,double,23.5,20.610205043445934,52.25,22.036237196488813,7.68344614722512
2019-06-10,double,22.0,20.91476769880815,73.5,15.936181155118076,-3.8324884067882192
2019-06-11,double,25.25,22.521528764204547,41.0,17.942537307739258,11.008707306601785
2019-06-12,single,22.75,22.619219346479937,,,
2019-06-13,double,22.75,20.024941877885297,43.0,18.777502233331855,12.38446400382302
2019-06-14,single,28.75,19.43982002951882,,,
2019-06-15,single,31.5,20.91234155134721,,,
2019-06-16,double,35.25,29.07209552418102,73.0,20.100900476629082,-6.689711570739746
2019-06-17,double,35.0,25.223819385875355,69.5,16.70599512620406,-3.309757492759011
2019-06-18,single,39.25,22.532054034146395,,,
2019-06-19,double,42.25,26.27324173667214,63.75,16.59298914129084,3.841562032699585
2019-06-20,single,42.25,28.689666574651543,,,
2019-06-21,single,41.25,27.44529151916504,,,
2019-06-22,double,41.5,23.906403628262606,57.5,21.965985038063742,10.833075436678799
2019-06-23,double,41.0,21.56612309542569,60.5,27.298952796242453,4.641122991388494
2019-06-24,double,38.75,15.279815847223455,64.0,20.64959109913219,6.03847633708607
2019-06-25,single,63.25,26.64566490866921,,,
2019-06-26,single,65.5,23.69434963573109,,,
2019-06-27,double,36.0,16.501934138211336,66.75,23.561981894753195,-0.9869620854204352
2019-06-28,single,65.0,26.553410269997336,,,
2019-06-29,single,62.25,21.753794063221324,,,
2019-06-30,single,59.5,25.91547393798828,,,
2019-07-01,single,56.75,24.470886057073418,,,
2019-07-02,single,56.0,27.64436877857555,,,
2019-07-03,single,59.5,25.79629828713157,,,
2019-07-04,double,36.0,16.36210060119629,60.5,27.23389833623713,6.070118080485951
2019-07-05,double,36.75,16.950955997813832,57.75,23.311616377397016,3.8226915056055244
2019-07-06,double,33.75,16.21752747622403,55.25,26.099903106689453,10.342957583340732
2019-07-07,single,52.5,24.12547562339089,,,
2019-07-08,single,48.25,24.92460857738148,,,
2019-07-09,single,48.25,31.516082243485883,,,
2019-07-10,single,48.5,28.246152877807617,,,
2019-07-11,single,51.5,23.21812803095037,,,
2019-07-12,single,56.25,18.65484046936035,,,
